TISSUE,frequency
CF framework,1
smooth muscles,1
nonmuscle tissues,1
joint tissues,1
Soft Tissue,2
Bone,5
Tissue Parasite,1
granulomatous tissue homogenates,1
inner lipid layer,1
tissue-like,3
nodular infiltrates,1
lamina propria,44
Lethal,1
cecum tissue,1
tissue suspensions,6
Vesicular,1
Host Intracellular,1
subendocardial,1
myocardial tissues,6
heart tissue,4
subepicardial tissue,1
subchondral,3
cartilage layer,1
tracheal organ cultures,8
epidermis,2
dermis,5
hippocampal tissue,1
glandular venom,1
gland tissue,1
columnar epithelia lining,1
CNS parenchyma,14
glia limitans,2
postmortem tissue,1
bark,2
droplets,4
sensory ganglia,2
medulla,1
milk-filled stomachs,1
colonic tissue,2
adult tissues,8
lymphoid tissue,34
organ explants,3
small airways,5
peribronchial cuffing,1
nasal swab specimens,2
skin tissues,1
area tissues,1
subepicardial,2
midwall,1
nasopharyngeal aspirates,13
plaque-based,2
peels,1
inner capsids,1
adult tissue,2
germ layers,7
COPD airway microbiome,1
skeletal muscle tissues,1
layer,10
inflamed tissues,5
necrotic tissue,1
vascular vessels,1
ciliated pseudostratified columnar epithelium,1
jejunal epithelium,2
sciatic nerve,13
muscle tissue,1
small-world,3
solid organ transplant patients,2
Bronchoalveolar Lavage Fluid,2
RPE,39
CNS compartment,4
synovial,5
synovial tissue,4
non-cancerous tissues,2
ANCT tissues,1
eosinophilic airway inflammation,2
OVA-induced airway,1
host body,1
olfactory neuroepithelium,4
neuroepithelium,2
exuded,1
lymphohistiocytic interstitial,2
perivascular lymphoid cuffs,1
edematous vascular sheath,1
perivascular lymphoid cuffing,1
proteoglycans,1
Neural tube,1
mesenteric lymph nodes,32
mucosal barrier,8
mucosal tissue,8
saikosaponins,1
solid surface,5
Tumor Tissues,1
Tubular,1
inner lumen,1
tubular membrane,1
naÃ¯ve piglets,2
NP segment,1
nasopharyngeal-associated lymphoid tissues,1
ICM,2
FT1DM islets,1
colon tissue,4
liver tissues,17
Monomolecular,1
OFSCs,1
NW samples,2
mammalian tissues,3
Pulmonary vascular,1
non-lymphoid organs,1
organ tissues,7
sputum/tracheal aspirates,1
Adenoid Tissue,1
adenoid tissue,6
Intestinal Bacterial,1
Inner,1
extracellular airway,1
foreskin tissue,2
Foreskin tissue samples,1
foreskin tissue samples,1
foreskin epithelium,1
genital epithelial barrier,1
breast tissues,2
tissue cyst,1
endothelial tissues,1
CTEPH tissues,1
Lung tissue biopsy,1
trabecular,4
submucosa,1
gut epithelium,4
epithelia-rich tissues,1
airway epithelial,9
lung parenchymal compartments,1
airway tissue,3
OVA-challenged airway subepithelium,1
Mucosal Tissue CD200,1
neural projections,1
cerebral microvessels,2
pharyngeal tissues,1
LVS,1
epithelial-endothelial barrier,1
Host Tissue,1
single-layer networks,1
single-layer,2
cancer tissue,2
extra-intestinal tissues,3
tubular,17
tubuli,1
mesothelium,1
LPMs,21
lung tissue samples,5
Lung lavage,1
seed,4
subpleural,13
foamy alveolar macrophage,1
subcortical,4
ileum tissue samples,1
IFN-Î²-inducing,3
tissue triglyceride,1
cardiac PPARÎ±,1
CF respiratory tract,1
CF,4
loosely-packed,1
host veins,1
Tube,2
subchondral bone,2
Lipid,1
acini glandular architecture,1
mammary tissue,3
vascular cuffing,2
Tracheal tissue,1
tissue extracts,3
symptom-triggered nasal swabs,1
peribronchial,6
Perivascular infiltrates,2
perivascular tissue,1
mucosal secretions,5
hepatic tissue,2
LCH tissues,1
inner membrane vesicle,1
CNS tissue,6
finger-tip capillary lactate,1
extraneural tissues,1
egg yolk,7
skin graft,6
aortic plaques,1
endometriotic tissues,2
endometriotic tissue,1
endometrial tissue,1
layers,10
snout epithelium,1
pulmonary microvasculature,1
microvessels,4
Air-Liquid Interface,1
alveolar edema,6
osteophyte,1
FMD vaccines,1
epigoitrin,11
woad root extract,1
normal kidney tissue,1
neuronal tissue,4
cardiac,5
CNS tissues,7
Ocular Epithelium,1
epithelial layers,1
swabbed,1
Airway Smooth Muscle Cortex phellodendri,1
airway smooth muscle (ASM),2
airway smooth muscle in tracheal rings,1
capillary zone,3
SEM,2
midgut epithelium cells,1
tracheal organ culture,3
Extract,1
intestinal tissues,13
seed samples,1
Cybercare network,1
host epithelium,2
tubules,22
Lymphoid Tissue,3
endothelial venules,3
wounded skin,2
NP swab,2
intestinal epithelial barrier,1
tracheal explants,1
Tracheal explants,1
tissue architecture,1
mucosa explants,2
LN FRC network,1
pulmonary alveolar proteinosis,1
lungâpredominantly pulmonary alveolar,1
neural tube,6
intralobular,2
interlobular septal,1
inner layer,1
macromolecular components,2
soma,4
Contact Network,2
nasopharyngeal tissues,3
intrapulmonary airway epithelial cells,1
bladder epithelium,1
sectoral,7
fibrotic interstitial,1
stem-cell,1
wall,10
skeletal muscle inflammation,1
Tissue Practices,1
trabecular meshwork,2
trabecular meshwork exosomes,1
explants,6
triaditis,3
RDPs,1
necrotic area,7
alveolar-interstitial infiltrates,1
non-tumorous liver tissues,1
tumor tissue,6
Tumor tissue,1
tissue structures,1
vaginal tissue,1
spleen tissues,3
tracheal mucus,1
SSM,1
cardiac muscle,3
dystrophic,2
harderian,1
glandular tissues,1
jejunum tissues,1
ocular conjunctival swabs,2
macromolecular,1
L. japonica,2
shoot apex,1
intestinal epithelium,38
necrotic bone,1
ear lobes,1
Brain Tissue,2
immune organs,1
tonsillar virus,2
small intestinal epithelial barrier,1
alveolar TNFÎ±,1
airway smooth muscle,4
tumorous tissues,1
NSCLC tumorous tissues,1
nasopharyngeal lavage,2
fibrovascular stroma,1
eIF3Î·.,1
e.i,1
Alveolar Ion,1
polar epithelial intestinal cells,1
ciliated airway epithelial cells,3
Embryonic,1
embryonic skeletal muscle,1
ellipsoid zone,1
ileum tissues,1
osteocyte lacunae,2
LN stroma,1
Rosa,1
exudate,3
granulation tissue,3
epicardium,2
capillaries,13
F.,1
Lephart,1
F. Ceia,1
cardiac ICU A.,1
glomerular,6
extra corporeal membrane,1
eggshell,2
shell gland tissue,1
Glomerular,1
nonlymphoid tissues,5
Oviduct Explants,1
osteonecrotic femoral head,1
Bone tissue samples,1
osteonecrotic femoral heads,1
thin-walled,3
SAT,5
inner surface,5
adenocarcinoma tissue,2
foetal,1
uterine wall,1
Airway epithelium,1
airway epithelial barrier,4
RSV-induced epithelial,1
placental barrier,5
fetal tissues,9
extraocular exudates,1
somatic tissues,3
fecal/intestinal samples,1
Host Tissues,1
pulmonary myocardium,2
muscular coat,1
lymphoplasmacytic infiltrates,1
periventricular parenchyma,1
small intestinal villi,3
Nasopharyngeal Aspirates,3
organoids,8
connective tissues,2
soft tissue,12
shell gland samples,1
renal tubular epithelia,1
non-host superkingdoms,2
small intestine explants,1
intestinal organoids,4
vesicular organelles,1
spherules,4
dopaminergic neurons,1
tracheal lavage fluid,2
nasopharyngeal swabs specimens,1
Normal epithelial,1
trachea cricoid cartilage,1
pulmonary lymphoid follicles Nonspecific interstitial pneumonia,1
barrier epithelial,1
LBM,1
high fat diet-induced,1
visceral adipose tissue,1
epididyotic adipose tissue,1
embryonic skeletal,1
green tea catechins,1
Root extract,1
exposure-risk,2
cancerous tissues,3
collateral,3
inner canthi,1
mammalian skin,4
non-pulmonary organs,1
layer flocks,3
ear canal swabs,1
ear canal,2
nasopharyngeal microbiome,1
kidney tissue,4
Renal Microvascular,1
subcutaneous fat,2
mucosal epithelium,6
superficial epithelium,2
Intestinal Epithelia Mammarenavirusesare single-stranded,1
epithelial tissues,6
intestinal epithelia,2
tubes,2
tuber tissues,1
CF animal,1
PVs,1
spleen tissue,1
pulp,12
non-malignant tissues,1
Inner ear,1
tau-FITC,1
placental structures,1
inflammatory tissue,2
UVB-induced skin,1
nursesâ hand,1
mucosal epithelia,9
testicular sperm,1
normal intestinal microbiota,1
mucosal compartment,1
follicle-associated epithelium,3
spinal cord neurons,1
airway organoids,4
smooth surface,1
Lactation,2
nasopharyngeal epithelium,2
RVC,2
small tubules,1
villus height/crypt depth,1
larval tissues,3
tracheal swabs,9
superficial,2
solid organ transplants,6
ferret tissues,1
egg layer flocks,3
oviduct tissues,1
ileal epithelium,1
epithelial tissue,2
PSCC tissues,1
cancer tissues,3
Skeletal Muscle,3
nasal swabs,2
corneal epithelium,3
tracheal virus,2
granular electrodense,1
Blood-Brain Barrier,4
plantar fascia sheath,1
Placental Tissues,1
placental tissues,5
third-trimester placental tissues,2
Placental tissue,2
tissue specific/,1
adipose depot,1
articular surface,1
atheroma plaques,1
entry-wise,1
uterine tissue,1
embryogenic callus,1
embryogenic,1
non-mucosal tissues,1
oft-fatal brain,1
airway immune system,1
airway immune residents,1
adenotonsillar tissue,2
tumor-adjacent normal tissues,1
CNS viruses,1
small intestine epithelial cells,1
nasal lavage,3
nasal mucosal tissue explants,1
Liver Tissue Host cell membrane,1
sensory neurons,12
Silver Nanoparticles,2
airway epithelia,19
collagen-dense tissues,1
BNP cows,1
gastric tissue specimens,1
cecal tissue specimens,1
muscle tissue exudate,1
contractile sheath,1
gill tissues,1
tissue lesions,5
olfactory bulbs,4
buccal swabs,3
liver tissue sections,3
BCC tissues,1
tail-hair follicle samples,1
buccal swab,2
tissues samples,3
HCC tissues,2
eel kidney,1
epithelial-like tissue,2
mammalian inner ear,1
hypervascular tissue,1
tracheal swab,1
tracheal,3
vesicular stomatitis virus,8
eosinophilic airway inflammatory,1
pulmonary interstitial fibrosis,1
Lung Barrier,1
alveolar barrier,3
extra-hepatic organs,1
anterior,1
posterior cervical nerve roots,1
mammalian placenta,1
petiole,1
neural,1
egg-shell,1
eschar swab,1
metastatic tissues,1
peribronchial neutrophil,1
CF airway milieux,1
CF airway milieu,1
temporomandibular joint,5
TMJ area,1
condylar zone,1
muscle tissue extracellular matrix,1
Traffic Network,1
bronchoalveolar lavage cytology,1
ward-regular bed,1
alveolar bone,2
GfCoV tissue,1
post-capillary venules,1
skull bone marrow,1
host mucus Influenza A virus,2
pulmonary acinus,1
microbiota,1
colon tissues,3
FMD virus,9
Canalicular,1
cervical tissues,3
epithelial layer,6
cervical epithelium,1
seed virus,2
brain endothelium,1
mucus,1
microvascular vessel pathology,1
RAA,2
Bradyrhizobium,1
myocardial tissue,7
intestinal crypts,5
enteroids,4
airway smooth muscle hypertrophy/hyperplasia,1
subepithelial,3
Lymphoid Tissues,2
eye-associated lymphoid tissues,1
conjunctiva-associated lymphoid tissues,1
conjunctiva epithelium,1
FFV tissue,1
meningeal,3
tissue/cells,2
virus/human/animal network,1
tissue immune,1
frozen tissues,2
contact network,4
splenic marginal zone,1
small intestine villi,1
porcine-derived,1
network nodes,3
Testicular Tissue,2
testicular tissue,4
ZIKV-induced testicular tissue,1
epithelial barrier,10
subepithelial corneal infiltrates,1
gut epithelial barrier,1
chitinous peritrophic matrix,1
midgut epithelium,1
Adipose tissue,2
graft tissues,1
mucosa epithelia,1
sub-G1,1
Extra Villous Trophoblast,1
Grafts,1
mesenteric lymph node,6
Tissue samples,8
tonsillar swabs,1
LAV,3
small intestinal epithelial cells,2
tonsillar immune,1
tonsil tissue,3
fibrosing interstitial lung,1
silver,1
retinal pigmented epithelial cells,1
multilobular infiltrates,1
supramolecular structures,2
nasal lavage fluid,1
GI barrier,1
Kidney Tissue Infectious bronchitis virus,1
ciliated epithelial layer,1
microparticles,4
dLN,1
mini-bronchoalveolar lavage,1
marginal zone B cell,1
mammalian gut,1
medial turbinate epithelial cells,1
Cord Separtion,1
pleomorphic enveloped viruses,1
scale-free network,3
chest tube,1
host network,1
Airway Epithelium Respiratory virus,1
air-liquid interface,2
nasopharyngeal swab suspensions,1
HCoVâhost subnetwork,1
edematous alveolar airspace,1
endotracheal tube,11
endotracheal aspirates,5
Peribronchial,1
perihilar peribronchial thickening,1
Perivascular cuffings,1
inner loops,1
perivascularly,2
myelinated axons,1
Brain tissue,3
parenchymal vessels,1
meningeal infiltrates,1
plastic-embedded,1
remyelinated axons,1
Olfactory neural,1
nose,3
granular layer,4
subperiosteal bone hyperplasia,1
Bacillary tubules,1
Cartilage Hair,1
cartilage hair,1
groundnut bud,1
OVA-induced airway inflammation,1
barrier colony,1
intestinal enterocytes,3
star-shaped surface,1
kidney tissue specimens,1
inner membranous sac,1
evaginations,1
villi,4
Fallopian tube,1
skin grafts,4
tracheal organ cultures Organ cultures,1
villous epithelium,4
intestinal lamina propria,2
chick-embryo ciliated tracheal organ cultures,1
ileal tissue,1
tissue explants,3
lymphoid tissue explants,1
absorptive tissues,1
iridovirus,1
gut-associated lymphoid tissue,9
parenchymal organs,1
hippocampal,1
lymphoidal tissues,2
breast epithelium,3
normal' breast epithelial line MCF10F,1
bronchial smooth muscles,1
egg,4
RPEC,2
retinal tissue,2
gastrocnemius muscle,2
gastrocnemius tissue,3
phytohemagglutinin skin,1
PHA-injected tissues,1
PHA-injected tissue,1
Tissue Bank/BRTB,1
tissue banks,2
amnion,1
soft tissues allografts,1
endocrine tissues,1
sensory nerve,1
nose tissue,1
ductal tree,1
alveolar buds,1
connective tissue edema,1
pial,1
marginal zones,2
Ranvier PNS-type myelin sheaths,1
scalar,6
curling,1
tomato tissues,1
ductular epithelium,2
ethmoid bone,1
nasopharynx-associated lymphoid tissue,2
neopallium,1
nervous tissue,4
structure-ligand,1
tissue biopsy,1
Solid Organ,3
Rheum palmatum,3
masseter muscle,3
glial limitans superficialis,1
brain meninges,1
plexus choroid,1
cortex layers IVâVI,1
colon tissues isolated,1
Rheum palmatum methanol,1
cap structures,5
strawberries,2
musculoskeletal tissue,1
airway smooth muscle cells,2
epithelial airway,1
airway epithelial culture,1
glomerular layer,2
OB tissue,1
tissue tropism(1,1
SSPE tissue sections,1
brain endothelia,1
extralymphatic organs,1
extralymphatic epithelia,1
hepatic sinusoids,3
capillary endothelium,2
KD tissues,1
vascular endothelial,1
intestinal surface enterocytes,1
small intestinal surface enterocytes,1
Mucosal tissues,1
embryo tissues,2
explant,4
SST epithelium,1
SST explants,1
extra-embryonic peritoneal sac,1
RVFV-glycoprotein-bearing vesicular stomatitis virus pseudotype,1
interfollicular epithelium,2
cortico-medullary capillary,1
Dioxin-Like,1
blood-ocular barrier,1
airway epithelium cell line Calu-3,1
Tracheal aspirates,1
body tissues,3
irregular surface,1
TBK1/IKKÎµ.,1
Bronchoalveolar lavage,3
egg layer,1
Solid Organ Transplant Recipients,1
trophic,5
Barrier,4
bronchoalveolar lavage fluid specimens,3
medial,4
tympanostomy tube,1
brain mesenchyme,1
Throat swabs,1
inner controls,2
C terminal,3
muscle fibers,2
tibialis anterior muscle,3
nonâlymphoid tissue,1
host intestinal mucosa,1
neutrophil infiltrates,1
CF sputum,2
tissue biopsy specimens,1
Myometrial,1
endometrial stroma,2
stroma,3
mesenchyma,1
Cardiac Inflammation,1
seminiferous tubule,1
interstitial tissue,2
seminiferous epithelium,1
luminal epithelium,1
Lung tissues,2
lamina propria SEB,1
Nasopharyngeal Secretions,1
Olfactory Epithelium,1
olfactory epithelium,11
sensory neuron,1
PC steers,1
Bronchial Epithelium,1
bronchial epithelium MethodsTo,1
ciliated bronchial epithelium,1
blood-brain barrier endothelium,1
perivascular cuffing,9
brain ependyma,1
steers,1
Olfactory System,1
vascular wall,3
neoplastic tissues,1
wax-embedded tissue,1
Vascular endothelium,1
visceral tissue,1
layer pullets,1
Covid-19 virus,1
endocardial,5
HumanâAnimal Interface,1
formalin-fixed tissues,6
Airway Epithelia Cystic fibrosis,1
spore,1
sprayer,1
sweetness,2
lung tissue virus,1
nasal tissue,4
alveolar capillary barrier,1
immune tissues,2
Biofilm,1
inner HR1,1
posterior tissues,1
visceral yolk sac,1
non-posterior tissues,1
endochondral,3
ocular tissues,3
lens epithelia,1
sprout,1
cardiac glycoside convallatoxin,1
hypoxic tissues,1
Alveolar Macrophage,1
alveolar macrophage,5
periodontal tissues,4
CNS virus,4
neuroimmune network,1
sciencesâstatus,1
tubular compartments,1
CF lung,7
CF ferret lung,1
CF animals,1
Fukuoka viruses,1
salmon tissues,1
Multiple Tissues,1
Species Allograft inflammatory factor 1,1
WHO network,1
microvasculature,2
inner ear,1
interdental,1
mammalian cochlea,1
Wheat streak,2
viridis liver,1
necropsy tissues,1
Tissue Culture,2
elastic network,4
dystrophic muscle,1
inner mitochondrial membrane,4
hypertrophic cartilage,1
trabecular bone,3
hematopoietic tissues,3
tissue grafts,4
basilar dendritic spines,1
network (RN)-powered,1
bronchoalveolar lavage fluid at,1
JM-4-induced tissue,1
vascular barrier,1
L.,1
germinal centers,1
meningeal lymphatic,1
solid organ transplant,6
Potatoes,1
inner periphery,1
villous enterocytes,8
mammalian secretory,1
intima,1
vessels,1
inner leaflet,5
germarium,1
ovalbumin-induced airway inflammation,2
barrier epithelia,1
postmortem tissues,3
pulmonary tissue,7
tubular structures,6
ocular microvessels,1
bream virus,3
extrapulmonary specimens,1
Tail,1
CNS compartments,1
villus,3
arteriolar vascular smooth muscle cells,1
bronchiolar airway lumens,1
bronchoalveolar lavage specimens,4
duct epithelial,1
liver tissue slices,1
Liver tissues,2
spin columns,2
inner leaflets,2
ToA,1
pulmonary endothelium,5
skin allografts,4
allografts,4
broncho-alveolar lavage fluid,2
CS nanoparticles,1
nonâhaematopoietic tissues,1
obliterative airway disease,1
macrophage infiltrates,1
root tissues,1
tissue compartments,2
tissue compartment,1
epithelium tissue,1
tumour-associated vessels,1
mucosal compartments,1
vessel endothelium,1
bronchus-associated lymphoid tissues,1
blood-brain-barrier,2
slice,1
villus epithelium,4
granular material,1
paraffin-embedded tissue,3
CF airways,3
IFITM-3,1
nasopharyngeal material,1
BBB components,1
small-world network,6
Flanders virus,1
uniocular anterior chamber (AC),1
Mucus Barrier Mucus,1
mucus barrier,1
inner tegument layer,1
extrapulmonary virus,2
lung tissue specimens,1
nonciliated bronchial epithelium,1
neuritic plaques,2
B-cell ontogenies,1
AM epithelium,1
muscular dystrophic,1
convoluted seminiferous tubule,1
alveoli-like structures,1
Graft,3
airway specimens,1
invaded tissues,1
spring-loaded,1
tracheobronchial tissue,1
tracheobronchial tissue cultures,1
macromolecular structures,2
extrapulmonary tissues,3
lungâassociated tissue,1
airway lavage fluid,1
extrapulmonary organ,5
extrarespiratory organs,2
ecto-cervical tissue,1
PVS,1
triangular,1
ISV,1
muscularization,2
subventricular zone,1
peribronchiolar mononuclear,2
modelâthe network,1
viroplasm-specific vNSP2,1
nonprimary immune,1
Airway epithelial barrier,1
turbinate tissue homogenate,2
overt mucus,1
CNS endothelium,1
tail tube,1
ginseng,1
mucosal epithelial,3
tracheal airway,1
hypertension-induced end-organ,1
squamous epithelium,1
esophageal epithelia,1
mantle cavity,1
skeletal muscle TG,1
adipose tissues,2
endotracheal tube samples,1
ciliated epithelial ultrastructure,1
WC walls,1
vesicular stomatitis viruses,2
hyperplastic crypts,1
crypt epithelial hyperplasia,1
vesicular spherules,1
inner spherule membrane,1
extrapulmonary organs,1
HumanâAnimal Interface,1
airway tissues,2
intrapulmonary airways,1
CNS vasculature,2
small droplets,1
Ileum Tissue Resected,1
NEC tissues,1
bronchiolization,1
neural tissue,2
sfRNAs/xrRNAs,1
alveolar epithelia,6
alveolar lining fluid (,1
Formalin-Fixed Paraffin-Embedded Tissues,1
pulmonary tissues,2
tongue epithelial samples,1
facial tissues,5
facial tissue,1
bract,1
small bronchiolar airways,1
nasopharyngeal swab FARP,1
pressure-overload-induced left ventricular,1
mucosal microbiome,1
normal intestinal flora,2
CNS nerve axons,1
bronchoalveolar lavage fluid samples,3
cross-sections,1
skeletal muscle IRE1Î±,1
non-lamellar,1
acellular,2
appendix tissues,1
splenic tissue sections,1
peripapillary superficial,1
peripapillary area,1
mesenteric LN tissues,1
icPC22A virus,1
Lymphoid Organs,1
parabronchial tissue,1
RVC NSP4s,2
tracheal tube,1
Multiple tissues,1
capillary blood vessels,2
vast network,1
sinusoid,1
epithelial ultrastructure,1
nasal,2
cremaster muscle arterioles,1
thrombi,3
granulomatous tissue,1
cardiac systolic,1
atherosclerotic plaques,2
aortic root,1
cortical tissue,1
bowel tissue,1
small airway epithelium,1
CF airway,2
normal lung tissue,1
normal airway epithelia,1
bronchospheres,1
lamina propria T cells,1
lymphoid sites,2
glomeruli,3
small airways epithelium,1
intercellular nanotubes,2
hematopoietic organs,2
conjunctival,1
Tissues,3
oncolytic-virus,1
perivascular infiltrates,3
meninges,1
solid organs,4
limbal conjunctival autograft,1
pterygial,1
fibrovascular tissue,1
lymphoid periphery,2
non-lymphoid compartments,1
mesenchymal stroma,1
alveolar type-2-,1
alveolar fluid,4
inner nuclear membrane,10
granular structures,1
Extra-articular cartilage,1
cartilaginous joints,1
extra-articular tissues,1
extra-articular cartilage,3
tracheolaryngeal cartilage,1
nasal cartilage,2
EZ1,1
mammalian blastocyst,1
parenchymal CD4(+,2
irregular microvilli,1
small plaques,4
Airway epithelia,1
placental vasculature,1
fetal,4
tissue immune pathology,1
CNS Tissues,1
notochord,1
noncancerous tissue,1
sympathetic nerve,1
peribronchial lymph node,1
teased,1
thymic tissues,1
HNSCC tissue,1
dermal layers,1
electrode needle,1
neoplastic tissue,1
glandular epithelium,1
inner axonal,1
alveolar lavage material,1
marrow,5
marrow grafts,3
Enterococci,2
immune organoids,1
inner envelope membrane,3
fibrous connective tissue,2
nonrespiratory tissues,1
suprabasal epidermis,3
enteric ganglia,1
periventricular germinal layer,1
periventricular microvasculature,1
immune periphery,1
detrusor smooth muscle,1
multinodular interstitial,1
mucosal epithelial surface,1
vascular structures,1
vascular tubes,1
OS tissues,2
non-tumor tissues,2
placental villous surface,1
trophoblast layer,1
intestinal epithelial,5
ileal enteroids,1
post-mortem tissue,1
nerve tissue,1
tracheobronchial lymph nodes,2
septal wall,1
Small segments,1
inflammatory-cell,1
nodular pancreas,1
Adult Tissues,1
Beef,1
Lung Tissue Inflammation,1
Molluscum Contagiosum,1
Neutrophilic Airway Inflammation,1
gastrocnemius muscle â,1
bronchioalveolar lavage samples,1
Alveolar organoids,1
alveolar organoids,3
skeletal musculature,1
cecal tonsil tissue samples,1
Carbon nanoparticles,1
squirrel tissue,1
egg yolk immunoglobulin,6
leaf tissues,2
flowers,2
stolon,6
leaf explants,1
sub-pleural focal,2
snowflake,1
shoot,1
stomatal,2
FNEs,2
Globe,1
