ORGAN,frequency
submaxillary,2
intralobular,1
enterovirus,1
intestinal biopsy,1
throats,1
alfalfa,1
s.c,2
thoracolumbar,1
saisonni̬re,1
Fowl Fowl,1
Fowl,1
friable,1
lung tissue,2
heart blood,2
small intestinal wall,1
alcoholic,1
tetralogy,1
crypts,1
solitary,1
supraventricular,1
suckled,1
lesion-free,1
neonatal crias,1
intestinal porcine,1
sonotubometry,1
sinonasal microbiome,1
grippal,2
hepatopancreas,8
genital secretions,2
extravascular,1
gingivae,1
osteoarthritic,2
late-term,1
cardiomyopathic,2
guineapigs,1
multi-organ,1
trigeminal,3
coronet,1
Reduced-Intensity,1
grafts,1
shin,1
mammary secretions,3
turkey,1
inguinal,1
Bud,1
tibias,1
foregut,1
mouthparts,1
anogenital tract,1
kittens,1
brain biopsy,1
focal intestinal,1
superficial,2
sore throat,1
splenomegaly,1
Saliva,1
splayleg,3
skin layer,2
cns,1
Clots,1
infarcts,1
subglottis,1
Egg yolk,1
powder,2
syrinx,1
shawarma,1
T-V,1
intestinal juice,1
pulmonar,1
pallor,1
TLOs,1
P1-P6,1
knees,2
bone-,1
depots,2
Ileum,1
hypodermis,1
luminally,1
petiole,1
ganglion,2
skin oil,1
sucklings,1
ciliary body,1
indistinctly,1
F.G.,4
Graft-versus-Host,2
SCT,1
semi-firm,1
cushions,1
mottled,1
Endobronchial,1
CT-guided,1
precolostral,1
scapula,3
cell-types,2
flanks,1
ejaculate,1
ureter,2
metanephrogenic mesenchyme,1
trout,1
esculenta,1
seed extracts,1
micro-abscesses,2
irradiation-induced,1
pinna,2
mg/g,1
seven-day-old piglets,1
open-heart,1
peripartum,1
hoof,1
Visceral,1
tibiae,1
flower buds,1
Testis,1
piglet lung,1
Meissner,1
autonomic nerves,1
slaughter,1
intracranial LD50,1
parathyroid,1
tracheobronchial lavage,1
infraglottic,1
9-day-old,2
froth,1
IAN,3
intestinal lymphoid tissue,1
14-day-old,2
7-day-old,1
ICU,1
immunodeficiencies,1
situado,1
gastrointestine,1
tympany,1
abomasal,2
midgut digestive,1
silkworm midgut,1
zone,1
Corneal,1
multi-segmental,1
auricular,1
palatine,1
salads,1
skin secretions,1
leptomeninx,2
pcv,2
gut lamina,1
Thorax,1
Langerhans,2
thigh,1
Rectal,2
preimplantation,1
pistil,1
petals,1
ENS,1
ectocervix,1
lingular,1
ewe-lambs,1
Pharyngeal swab,1
oro-pharyngeal swabs,1
colt,1
Fasciola,1
queens,5
infant lung,1
gustatory,3
thymus gland,2
small intestinal mucosa,1
genitourinary,1
glomeruli,1
perilobular,1
trabecular,1
serviceberry,1
Dystrophic Dogs,1
effusions,2
cholecystic,1
T8 spinal,1
Gallbladder,1
gallbladders,2
embryonic sac,1
fingerpad,1
pharyngo-tonsillar,1
thyroid gland,4
faecal BRV,1
tracheal-lung,1
lymphadenopathies,1
twigs,1
bacteria-bearing,1
"20,471",1
VGA,1
intestinal porcine epithelial cell line J2,1
faecal secretions,1
smal,1
Udder,1
nonmucosal,1
Plasma,2
descended,1
stomatitis/gingivitis,1
pharyngeal tonsil,3
Pyoderma,1
Throat swabs,1
Bronchoscopy,1
corse,1
musculo-skeletal,1
gut submucosa,2
escolar,1
liver-kidney,1
embryonic chickens,4
sun-dried roots,1
trichimerism,1
tracheal swabs,1
sarcoids,2
spinal cervical,1
Quail,2
stabilization/improvement,1
Gut microbiome,1
sectorial,1
fetal liver,1
thymi,1
intestinal lymphoid tissues,1
toms,1
leg wound,1
Mertolenga,1
interscapular skin,1
quail egg,1
UBG,1
eggshells,1
cuticle,1
perivenous,1
juveniles,1
carina,2
buttresses,1
necroscopy,1
Broiler,1
non-ocular,2
salmonella,1
Tuli,2
silage,2
anus,1
vulva,1
nerves,2
lymphoid spleen,1
Tooth,1
homogenate,1
intraspleen,1
ribs,1
sternum,1
Buccal,1
small lungs,1
shedders,1
oils,1
Lymphangiosarcoma,1
lymphoedema,1
serosanguineous,2
thyroids,1
CCR5+/+,1
progeroid,1
ICM,1
costo,1
germplasm,1
lymphnodes,1
IBK,1
IBK samples,1
Celastraceae,1
conjunctivae,1
pyogranuloma,1
spicules,1
