IMMATERIAL_ANATOMICAL_ENTITY,frequency
IEQ,1
fruto,1
ICAO,1
slags,1
industryâmarket,1
TIVAP,5
muco-ciliary,2
vaccine,1
induced-cirrus,1
vehicular,1
MBW,1
intracellular vacuoles,1
Lysosomal,1
exudate,3
Vulnerabilities,1
bleb,1
tuber,2
intracutaneously,1
intrauterine maternal-fetal transmission,1
lipid-deposition,1
extravascular,2
molicular,1
K-mers,2
nail-like,1
gut,1
septal,2
CSEA,2
primum,1
"intravenous siltuximab,",1
stone,1
intracellular cholesterol transporter chaperone caveolin complex ABSTRACTDengue virus (DENV,1
sub-cellular,3
pollen,3
Aerial,2
scaly,2
exocytotic,2
exoplasmic,3
pericentriolar,1
Fucus vesiculosus,1
intracardiac,3
profuse,2
mesencephalon,1
vesicular stomatitis virus GP,1
intracellular organelle membranes,1
myofibrillar,4
polyadenylate-containing,1
Intravascular,1
cladosporium,2
Fusarium verticillioides fungal culture (dietary,1
intracellular genome,1
orogastric,2
fetal,4
sac membranes,1
E2,2
tint,1
sow,1
postfarrowing,1
"intracellular virus,",1
intracellular virus-specific,2
Orofacial,1
equimolar,3
intracellular ehrlichial,1
jejuna,2
in-room,4
IgY,1
Intracellular Complexes of,1
stalk,3
extra IGS inserted,1
intrasplenic,7
Myocardial IschemiaâReperfusion Injury,1
trigeminal,1
interscapular,1
"intravenous carboplatin,",1
vesicular stomatitis viruses,1
medulla,1
extra cellular matrix,1
midbrain,1
Fascioloides,1
intracellular env precursors,1
Villus,2
foetus,1
extra cytosine nucleotide,1
Intracellular Hepadnavirus Nucleocapsids Are,1
intracellular capsids,1
microecological,1
NON-NCOVID-19,2
Endovascular,1
carotid,1
nova,1
intracellular membranous compartments,1
7DPI,2
intraosseous,2
Haugh,1
quadrupolar nuclei,1
extracellular part,1
sardine,1
LRI,1
faecal,3
intrathecal,1
"intravenous methylprednisolone,",1
transrectal,3
infant,1
intracellular pathogens and,1
G64S,1
ganglionic,1
legionellae,2
sectorial,1
intracytoplasmic virus,1
IHCD,1
interneuronal,1
intracytoplasmic membranes and,1
vines,1
Limonoids,1
carcass,1
intravenous fluids and,2
portal,1
malleolar,1
tibiofibular,1
Lipids,1
blood-aqueous barrier,1
Placenta,1
Intracellular compartmentalizationâgoverned,1
105-d,1
Myofibrillar,1
schizont-like structures,1
canned,1
intranasal/intratracheal,1
vaginal,1
fatteners,1
TiO2/cordierite,1
subQ,1
intracellular organelle as,1
intracellular pathogens.,1
egg yolks,1
Avascular,2
nostril,1
Collateral,1
oligoelements,1
exhaled droplets,1
oxidant-antioxidant,1
caudal,1
Hand,1
CDC-recommended,2
perivascular space,1
indigowood root,1
Endotracheal,1
intravenous methylprednisolone at,1
Malassezia,2
nasogastric,1
intracellular compartments.,1
intra-mitochondrial structures.,1
brevifoliol,1
IAN spore concentration,1
extra 29-nucleotide fragment,1
PTV glycoproteins,1
abomasal,2
yolks,3
epidural,1
microparticle,1
seafood,1
hypothalamic,1
extra 29-nucleotide,2
Lipid Membranes,1
intracellular 3a as,1
intracellular constituents,1
mediana,1
phenanthroquinolizidine,1
post-natal,2
iron-binding,1
supramolecular,1
histiotrophic,1
spices,1
nerve-muscle,1
micro-organisms,1
intraneural,1
peritonsillar,1
intestinal,1
entry/exit,1
nasalâocular,1
UV-induced,1
postsynaptic,1
breast-milk,1
intracellular pathogens have,1
teat,1
temporadas,1
extra domains/co-factors,1
Evans,1
extruded iso-nutrient experimental,1
saponins,1
Corticosteroid,1
intracranial,1
intracellular RNP complexes,1
intracellular cholesterol homeostasis,3
spiral,1
Intracellular HBV DNA,1
intracellular glycoproteins,1
periglomerular,1
lodging,1
strands,1
intracellular HBV,1
"sputum eosinophils,",1
perilobular,1
Tzanck,2
intracellular pathogens in,2
intracellular material for,1
microbiota-related,1
bronchovascular,1
intrathymic,1
intracellular antibodies for,1
teats,1
Intracellular Viral Tat Protein,1
tear,1
saisonniÃ¨re,1
chorioallontoic,1
LV virions,1
Eggshell,1
tympanic membrane,1
intracellular salmonella,1
intracellular cAMP had,1
intracellular pathogens Listeria monocytogenes,1
cake,1
navy,1
Intracellular cccDNA,1
noncellular,1
lipid rafts,1
osmolar,1
