ORGANISM,frequency
HBV,476
SARS-Coronavirus RNA,1
SARS-coronavirus RNA,1
SARS-CoV ORF 3a,3
SARS-CoV ORF 1a,1
porcine circovirus 2,13
PCV2,376
Porcine circovirus 2,8
gnotobiotic pig,9
pigs,2134
PMWS,37
anti-PCV2,3
IgM,358
PCV2-infection,1
Epstein-barr virus,1
Serology,21
Epstein-Barr virus,98
EBV,327
recipients,413
H5N1 avian influenza A virus,3
H5N1 avian influenza A,1
influenza A virus,288
infuenza,2
H5N1,268
H5N1 influenza virus,45
simian immunodeficiency viruses,8
SIVcpz,16
SIVsm,4
HIV-2,30
SIV,206
gag p27,2
SIVsm-infected sooty mangabeys,1
V1V2,3
SIVsm V1V2,1
SIV/HIV envelope,1
NHPs,52
cynomolgus macaques,53
clone,2
deer,28
human non-lymphatic cell lines,1
Brucella abortus GroEL heat-shock,1
Brucella abortus,7
avian,693
vaccine,100
subjects,247
Nonhuman Primates,17
Adenovirus,128
replication-defective adenoviral,2
rAd,9
antigenomic,4
coxsackievirus B3,23
CVB3,86
CVB3 3â²-poly(A,1
Epicatechins,1
Human Cancer Cell Lines,1
foot-and-mouth disease virus,72
FMDV,244
FMDV C-S8c1,1
VP1,227
human influenza A virus,8
H3N2,198
Amphotropic murine leukemia virus,1
mouse fibroblasts,13
amphotropic murine leukemia virus,3
A-MLV,20
mouse fibroblast cell line NIH3T3,1
VSV-G pseudotyped MLV,1
ferrets,246
convalescent,97
civet cat SARS-CoV-like,1
SZ3,4
equine skin,4
equine sarcoids,6
horses,270
RSV,2597
asthmatics,23
Mice,454
countries â,2
mouse class I MHC peptide,1
mouse class I MHC,1
human hepatoma,1
Lassa virus glycoprotein GP-C,1
HSV-2,130
human THP-1 cell line,1
H5N1 influenza,25
human strain [1],1
Streptococcus pneumoniae,78
Human bronchial epithelial cells,3
S. pneumoniae R6x,1
S. pneumoniae,144
human lung epithelial cell line BEAS-2B,1
S. pneumoniae-induced,1
human epithelial BEAS-2B cells,1
controls,53
bocavirus DNA,1
human bocavirus,170
hBoV,68
hBoV DNA,8
HBoV DNA,18
NPAs,74
adenoviruses,258
HBoV,473
Koch,25
HCWs,519
influenzavirus,8
parainfluenzavirus 1â3,1
parainfluenzavirus 1â4,1
NL63,142
human metapneumovirus,463
Mycoplasma pneumoniae,210
Chlamydia pneumoniae,44
stomatitis virus (VSV),10
VSV surface glycoprotein,1
hospice,4
horse,50
racehorses,3
Curcuma longa,3
mouse tumor xenograft,1
traveler,40
rat tracheal epithelium,4
rats,1203
cav-1-deficient mice,1
human mast cells,6
resting/unstimulated mast cells,1
Streptococcus pyogenes,7
Klebsiella spp,5
Shigella spp,13
Haemophilus influenzae,100
Proteus vulgaris,1
rhino virus,2
astrovirus,124
HAV,66
polio-,1
Herpes viruses,5
CMV,269
HSV type 1,3
convalescent plasma,57
arthritis-prone Ncf1,1
arthritogenic T cells,1
rotavirus,902
rodent-borne,6
chickens,691
serotypes/genotypes,6
broiler chickens,39
1-day-old chickens,3
H120,52
IBV vaccine(s,1
duck hepatitis B virus polymerase,1
Syrian golden hamsters,4
SARS-CoV interspecies,1
SARS-CoVs,15
human hosts,20
archaeon Sulfolobus solfataricus,1
retroviruses,177
1918,75
lambed,2
Soest citizens,1
Soest,1
C.,381
sheep,78
Anaplasma phagocytophilum,7
SARS,4
coronavirus nucleocapsid (N),15
palm,60
coronavirus infectious bronchitis virus,56
coronavirus N protein,13
golden hamsters,2
HIV-1 gp120,9
gp120s,3
hamsters,110
Chinese Hamster Ovary (CHO) cell lines,2
SF162,1
Bacillus subtilis cells,3
C. Yarian,1
M. Marszalek,1
E. Sochacka,1
S. epidermidis,11
corona-,36
calici-,1
hepatitis A,41
hepatitis C,81
Vaccine,275
bats,1703
raccoon,10
cats,2236
swine,1193
equine encephalitis virus replicon particles,1
VRP,13
GDO3,1
human airway epithelial cells,24
SARS-CoV virus,14
virus influenza A (16,1
hosts,514
SARS-CoV-specific antibody,1
CTL,172
SARS-recovered,3
foot-and-mouth,32
Gag/Human Lysosome-Associated Membrane,1
Rhesus,18
chimera,18
mouse lysosome-associated membrane,1
Rhesus macaques,10
human LAMP/gag,1
hLAMP/gag,1
hLAMP/gag chimera,1
macaques,119
hLAMP/gag DNA antigen,1
non-human primates,81
Mycoplasma alkalescens,1
cattle,438
Denmark Mycoplasma alkalescens,1
calves,2049
Denmark,44
Haemophilus somni,1
Salmonella Dublin,3
Mouse-Adapted SARS-Coronavirus,1
BALB/c Mice,11
SARS-coronavirus (,26
14-mo-old,1
MA15,12
lethal,148
MA15 virus,2
lethal virus,6
rMA15,5
Human coronavirus 229E,13
non-structural,23
human coronavirus,307
HCoV,326
HCoV-229E isolates,3
PEDV,784
Ebola Virus,24
guinea pigs,97
KZ52 intravenously 1 d,1
poxvirus,13
maximum-likelihood,4
tick-borne encephalitis virus,20
Saccharomyces cerevisiae,60
vaccinia viruses,11
neurovirulent vaccinia virus,1
brains,143
mouse lung cells,1
Coronaviruses,392
feline,533
FIPV,432
canine coronavirus,151
TGEV,1341
human coronavirus 229E,107
fAPN,27
IBV strain Mass41,1
feline cells,18
chick kidney cells,14
Ark99,8
Viral,182
Bovine Respiratory Disease,8
bovine respiratory tract disease,1
cattle herds,14
bovine parainfluenza virus-3,4
PIV-3,36
bovine respiratory syncytial virus,92
BRSV,313
bovine coronavirus,353
bovine adenovirus-3,6
BAV-3,23
bovine adenovirus-7,2
BAV-7,3
bovine virus,27
BVDV,259
BCV,219
Mycoplasma dispar,2
Pasteurella multocida,43
Pasteurella sp.,1
Campylobacter jejuni,23
C. jejuni,17
ETEC strains,2
E. coli isolates,19
E. coli,372
non-human mammalian,2
avian species,60
non-human virus species,1
human astrovirus serotype 1,5
dS. Sites,1
avian influenza,98
HPAI,30
Podophyllum,1
herds,421
Swedish dairy calves,1
Escherichia coli K99,7
Rotavirus,128
E. coli K99,13
Swedish dairy herds,3
ruminants,99
Berberis aquifolium/Mahonia aquifolium Echinacea purpurea,1
Symphytum officinale,5
Achillea millefolium,3
Usnea longissima,1
Curcuma longa L.,1
Salix scouleriana,1
caprine arthritis,1
caprine arthritis encephalitis,4
Euphrasia officinalis,2
Matricaria chamomilla,1
Bovista spp,1
Calendula officinalis,2
Arnica,1
Malva sp.,1
Echinacea purpurea,13
Berberis aquifolium/Mahonia aquifolium,1
Capsella bursa-pastoris,1
Hypericum perforatum,2
Lavandula officinalis,1
Urtica dioica,2
Potentilla pacifica,1
Althaea officinalis,1
Anethum graveolens,2
Salix alba,2
Teucrium scorodonia,1
Galium aparine,1
Rubus sp.,1
Gaultheria shallon,1
Malva parviflora,1
Juniperus communis,1
Nepeta caesarea,1
poliovirus replicon,1
honey bees Apis mellifera,1
honey bee Apis mellifera,1
honey,25
Drosophila,39
sex-,3
female,129
ExPECs,1
patient-collected,1
non-cytopathic viruses,1
HCV cell culture,6
anti-HCV,56
HCV pseudoparticles,4
human sera,58
embryonated chicken eggs,40
Sendai virus,92
Embryonated chicken eggs,1
embryonated eggs,31
human respiratory syncytial virus,85
HRSV,86
HMPV,340
Sendai minigenome,2
chicken embryonated eggs,7
vaccinia recombinants,1
within-host,28
D. C.,2
human CEACAM1,12
human carcinoembryonic antigen,8
mouse CEACAM1,1
human epithelial CEACAMs,1
Polyomavirus,6
polyomavirus,37
human patients,37
polyomaviruses,33
WU virus,18
VP2,128
VP3,64
WU virusâspecific,1
Coronavirus ORFeome,1
nsp2,21
influenza virus H and N subtypes,1
avian influenza isolates,1
avian H5N1 isolates,1
H3N2 strains,7
influenza viruses,72
avian influenza A (H5N1) virus,9
avian influenza A viruses Chloroquine,1
avian viruses,23
human IFN-Î³,1
volunteers,70
Human Monoclonal Antibodies against,1
human monoclonal antibodies,3
murine,276
adults,17
HPAI H5N1 viruses,6
FLA3.14,2
A/Vietnam/1203/04 (H5N1),3
convalescent patients,14
arthritis-susceptible dark agouti,1
arthritis-susceptible rats,1
canine articular connective tissues,1
canine articular tissues,2
canine cell lines,5
canine cranial cruciate ligament,1
canine articular tissue,2
influenza,246
MHV,1430
US,116
Children,582
Chinese,89
Mouse,168
Human Genome U133A,1
human samples,16
wild-type samples,1
human immune sera,2
non-mammalian,1
Coronavirus Non-Structural Protein 1,1
Coronavirus Vaccines,8
coronavirus vaccine,16
mouse hepatitis virus,285
MHV nsp1,2
nsp1 mutant virus,1
coronavirus vaccines,17
Drosophila cells,5
FHV,47
FHV spherules,2
human plasma,23
virus-specific,150
Adenovirus Type,1
Coxsackievirus A7,1
Syncytial Virus B,2
mouse cytomegalovirus,3
MCMV,60
congenic,3
cytomegalovirus,169
avian pathogens,18
Citrus tristeza virus,6
canine osteoarthritic joint tissue,1
canine tissues,3
adenovirus 4,1
coronavirus OC43,50
respiratory syncytial virus,294
Human rhinoviruses,26
serology,67
HRVs,66
human enterovirus,27
human immunodeficiency virus type 1,101
Coronavirus Spike,3
SARS-CoV virions,5
E. coli strain,1
W3110 lambda clone,1
H5N1 Viruses,3
H5N1 virus,106
HIV Vaccine,4
Dengue Virus,20
goats,110
Goats,11
human anthrax patients,1
canine CEA,1
human CEACAMs,1
canine,143
human lung,38
liver/lymph nodeâspecific,2
anti-WNV,1
rabbit,142
rabbits,361
yeast Saccharomyces cerevisiae,19
Env,142
Retrovirus,4
avian leukosis virus-A,2
ALV-A,1
ALV,26
base-call,1
Lagerstroemia speciosa,1
Bovine Respiratory Syncytial Virus,7
respiratory,193
Coronavirus Spike Protein,23
SARS-CoV spike (S),19
avian coronavirus infectious bronchitis virus,52
coronavirus S protein,3
avian influenza A infections,1
humans Influenza A viruses,1
avian influenza A,3
non-human,35
human immunodeficiency virus (HIV)-1,8
human cell membrane phosphatidylserine,1
HIV-1 PS,1
lymphocytic choriomeningitis virus,27
LCMV,150
Pichinde virus,6
vaccinia virus,272
C57BL/6 mice,131
LCMV-immune mice,2
herpes viruses,23
varicella zoster virus,20
Leptospira spirochetes,1
human genogroups,1
norovirus,229
HBGAs,15
GII.4,8
virus-like particles,174
norovirus capsid,1
coronavirus species,11
coronavirus HKU1,15
coronavirus HKU2,1
Brucella,33
Yersinia,16
human tissue,12
mouse macrophages,16
ecotropic mouse gammaretroviruses,1
Moloney,2
Friend ecotropic mouse gammaretroviruses,1
mouse species Mus dunni,1
S82F,1
Spl574,2
Friend mouse leukemia virus F-S MLV,1
mCAT-1,1
ecotropic MLVs,1
mCAT-1 transfectants,2
Moloney MLV,4
293T cells,37
enterovirus-like,1
Human Proteins,1
Murine hyperimmune sera,1
human lung epithelial cells A549,3
Hantavirus,16
HPS,28
H5N1 isolates,3
H5N1 neuraminidase,2
H5N1 viral isolates,1
Dengue,17
HIV epitope SLFNTVATL,1
nose-throat swabs,2
single-virus,10
non-viral,14
reovirus fusion-associated small transmembrane,1
virus-encoded cellular,1
influenza virus envelope glycoprotein,1
Sabin 1 poliovirus-based,1
Sabin 1 virus,1
PV,19
Human Rhinovirus C,4
HRV-QPM,4
HEV receptor footprints,1
Enterovirus,35
Human rhinovirus C,8
schoolchildren,9
Vaccine Human immunodeficiency virus,1
anti-HIV,26
HCoV 229E,20
HCoV 229E-based,4
human aminopeptidase N (hAPN,1
human DCs,13
human parechovirus type 1,1
virus isolates,17
human parechovirus,16
HPeV,23
HPeV1,13
HPeV1 strains,1
HPeV3,7
HPeV3 nonstructural protein,1
HPeV non-structural,1
feline immunodeficiency virus,122
lions,11
Feline immunodeficiency virus,26
FIV,348
cat,484
Felis catus,23
Pallas cat,1
Pallas cat FIV(Oma,2
TM regions,1
cat FIV(Fca,1
lentiviruses,21
SJL/J Mouse,1
SJL/J mice,41
monkeys,110
Crosse virus,20
LACV,22
Crosse,4
persons,224
rhesus,95
rhesus monkeys,4
rhesus monkey,9
FMDV O(1,1
baculovirus GP64,2
baculovirus,177
GP64,39
Thogotovirus,1
granuloviruses,1
Rhabdoviridae,8
Herpesviridae,31
thogotoviruses,1
Thogoto virus,1
THOV,4
Autographa california,1
AcMNPV,27
THOV GP,1
AcMNPV GP64,3
VSV G.,3
Influenza A Virus,59
human lung epithelial cells,17
Chinese subjects (â¥ 60,1
SARS-Cov,10
Hepatitis A,10
human type II procollagen,1
yeast Pichia pastoris,2
Pichia pastoris,19
human type II collagen,1
human collagen II,2
human collagen,1
SARS-Coronavirus Replication/Transcription Complexes,1
SARS-coronavirus (SARS-CoV,9
SARS-CoV nsps,1
human melanoma cells,5
human melanoma cell lines,1
mdx mice,4
mdx mouse,3
Bovine Norovirus,2
bovine Norovirus,1
N-term,4
ORF1 polyprotein,7
influenza virus strains,12
H5N1 avian,27
Nile Virus,44
Foot-and-mouth disease (,1
baculovirus Bm-P12A3C,1
FMDV Asia 1/HNK/CHA/05,1
Bm-P12A3C,1
ISAV,51
Influenza Virus Particles Virions,1
influenza virus envelope,3
hairpin stem,1
East Asia,65
rat hepatocyte-derived cell line,1
human CEACAM1 receptor,1
human cellular receptor carcinoembryonic antigen-related cell adhesion molecule 1,1
MHV RNA,7
Treponema pallidum ssp,2
SS14 strain,1
"Nichols strain, 327 single nucleotide",1
T. pallidum chromosome,1
SS14,1
DENV-3,22
Monkey ISG15,1
Human Cells,13
monkey,42
human metapneumovirus M2-2,1
Human metapneumovirus,98
hMPV,647
hMPV/NL/1/00,1
hMPV M2-2,2
lymphocyte-deficient mice,2
wild-type mice,54
human FPR,1
human mitochondria,1
Coxsackievirus B3,14
murine cardiomyocytes,1
coxsackieviral polymerase 3D,1
Coxsackievirus,6
lentiviral,67
germ-free piglets,2
porcine intestinal,3
EMCV,65
Virus-Like Particles,23
Human Dendritic Cells,5
SARS-like coronavirus,18
SL-CoV,19
human SARS-CoV. BVLPs,1
SARS-CoV VLPs,8
CoV VLPs,3
SL-CoV S DNA,1
SARS-CoV S DNA,6
SL-CoV VLPs,1
SL-CoV isolated,1
human SARS-CoV,11
SARS-like CoV.,1
Human immunodeficiency virus type 1,13
HIV-1 subtype C,4
p17/p24,6
Nicotiana spp,1
HIV antigens,5
Pr55Gag,1
John Brownstein,1
Mbp,2
baboon retrovirus,1
BAC,9
bee species,1
âecosystem servicesâ,1
bee,10
C. bombi,1
hives,4
C. bombi near greenhouses,1
human virus,26
influenza A viruses,66
Syd/5/97,2
mouse lung,20
H5N1 influenza viruses,19
H5N1 human,2
H5N1 infections,5
mouse lung tissue,4
mouse Sertoli cells,1
mouse seminiferous epithelium,1
HLA-transgenic mice,1
FMDV quasispecies,2
H5N1 Influenza Virus,6
H5N1 HPAI viruses,4
reassortant viruses,13
reassortant strain,3
man,240
human CNS demyelinating disease Multiple Sclerosis,1
flavivirus E,1
âspatial pattern-time process-driving forcesâ,1
Gammaherpesvirus 68 Infection A,1
Gammaherpesvirus,5
murine gammaherpesvirus 68 (,1
immune-deficient mice,2
gammaherpesvirus,29
Lentivirus,4
Virus Particles,7
human antibodies,13
self-inactivating,1
lentivirus,39
antibody-displaying human cells,1
SIN lentivectors,1
begomoviruses Begomoviruses,1
AV1,1
SARS-like Infectious Diseases in,1
SARS-like,32
Yersinia ruckeri,1
rainbow trout,6
Y.,81
Rabies,33
rabies patients,1
rabies,366
rabies immunoglobulins,1
anti-rabies,3
skunk brain,1
human feces,12
mouse brain,41
Picornaviridae,140
simian picornavirus,1
skunk,4
orthoreovirus,21
orbivirus,10
SARS-Coronavirus,20
coronavirus-induced membrane,1
antigen-specific CD8,6
human papillomavirus type 16 E7 antigen,1
E7-specific immune,2
E7-specific CD8,8
equine encephalitis virus (VEEV),16
VEEV,73
human naÃ¯ve antibody gene,1
VEEV strains TC83,1
VEEV infected cells,1
equine encephalitis virus,17
WEEV,6
EEEV,15
Chikungunya virus,93
CHIKV,361
human naÃ¯ve scFv,1
Alphavirus species,1
avian bornaviruses,3
bornavirus,2
bornavirus isolates,1
avian bornavirus,8
ABV,22
ABV isolates,1
bornaviruses,4
Bacille Calmette-GuÃ©rin,1
toroviruses,61
replicon,81
Caenorhabditis elegans,16
Shrew,3
shrews,44
Sorex araneus,2
antigen-specific T cells,14
adenovirus,992
Co-Infection,2
Hepatitis C Virus,82
Human Immunodeficiency Virus-1,3
HIV-specific T-cells,3
HCV antigens,5
viral-specific CD8(+) T-cells,1
HCV-specific T-cells,1
caterpillar hosts,1
ichnovirus virions,1
ascovirus,1
ascoviral,1
wasp,4
Adenovirus-Based Vaccine,3
Vaccine Carrier,1
human adenovirus serotype 5,3
Ad5,46
Ebola Zaire glycoprotein,1
Ebola,185
Ad5-based,3
hantavirus,74
Tula virus-induced cell,1
Tula,1
Puumala,3
HFRS patients,6
Pigs,105
porcine hemagglutinating encephalomyelitis coronavirus,1
PHE-CoV,18
Mimivirus Acanthamoeba polyphaga mimivirus,1
hantavirus cardiopulmonary,10
rodent excreta,3
Andes virus,2
epidemica,7
PUUV,24
PUUV S-segment,1
human saliva,10
IgG,37
Bats,243
Chinese type I coronaviruses,1
equine,197
EI zones,1
animal,170
human viruses,11
human convalescent sera,4
non-immune human VL,1
Panthera leo,1
carnivores,87
sero-prevalence,5
East,2615
feline lentivirus,1
physicians,10
varicella-zoster virus,38
VZV,107
Adenoviruses,57
adenoviral,109
human adenoviruses,21
Ads,10
UV-inactivated,12
Hantavirus vaccine,1
HTNV,65
common epithelial tumors,1
replication-competent VSV,2
Zaire ebolavirus glycoprotein (VSVÎG/ZEBOVGP,1
simian-human immunodeficiency virus,3
SHIV,9
ZEBOV,50
reoviruses,38
Kampar virus,5
Kampar,2
leafroll dwarf virus,1
CLRDV,1
feline cell lines,16
feline coronaviruses,60
gp120,38
Human immunocompetent cells,1
human PBMC,6
Norovirus,53
murine norovirus,35
MNV,102
MNV capsid,1
human Lordsdale virus,1
norovirus immune cells,1
Mouse-Adapted SARS-CoV A,1
SARS-CoV (rMA15,2
10-week-old C57BL/6 mice,1
human influenza viruses,13
Toxoplasma gondii,64
adulthood,26
LCMV brain,1
outbred mice,3
T. gondii,116
wildlife,241
Avian influenza virus,6
avian influenza (H5N1),7
influenza-specific CD4 T cells,1
avian influenza A virus,18
avian influenza virus A (H5N1),3
Human Bocavirus,57
human colon carcinoma cells,1
Human coronavirus,23
hCoV,38
hCoV-NL63,7
cytopathogenic,6
Human colon carcinoma cells,1
monkey kidney cells,18
HCoV-NL63 virus,3
Alphaherpesvirus,1
Equine herpesvirus type 1,1
EHV-1,19
human rhinoviruses,32
HEV,391
HEV samples,1
Human Rhinovirus Group C,1
cynomolgus macaques Cynomolgus macaques,1
Simian immunodeficiency virus,3
SARSCoV,10
Escherichia coli M15,1
human coronaviruses HCoV 229E,1
HCoV OC43,20
6-week-old BALB/c mice,2
antigen-specific T-cell,9
Replication-Competent Vaccinia Vector MVTT,1
MVA,144
vaccinia Ankara,8
vaccinia Tian,3
MVTT,4
MVTT-S,3
anti-VTT Nab,1
anti-VTT Nabs,2
Human Lung Cancer Lung cancer,1
human lung cancer xenografts,1
Chikungunya fever,3
Viral Pathogens,19
reads,72
Avian,36
avian influenza A (H5N1) viruses,2
avian influenza viruses,122
Ark DPI,6
IBV strains,120
Ark 99,4
Ark genome,1
turkey coronavirus,57
non-human DNA,1
Mus musculus,12
Drosophila melanogaster,13
D. melanogaster (12â17 bp,1
C. elegans,13
S. cerevisiae,17
human neutrophil adhesion,1
human neutrophils,12
human umbilical vein endothelial cell monolayers,1
human umbilical vein endothelial cells,6
RVFV,155
Phlebovirus,29
mosquitoes,27
RVFV NSs,5
Fruit Bat,1
HRV-A,60
genogroup C.,1
Human Polyomaviruses,1
Children KI virus,1
human polyomaviruses,13
WU,27
polyomaviruses WU,2
Human cytomegalovirus,20
HCMV hyperimmune globulins,2
human B-lymphocytes,1
bovine-like rotavirus,1
giraffe,1
Bovine RV,1
rotavirus hosts,1
progressors,3
nef,3
non-progressor,2
Gag-p24,1
LTNP,2
Bovine,67
white-tailed deer,7
Odocoileus virginianus,3
Canis latrans,10
bovine TBâendemic,1
Nipah-like Viruses,1
Bats Bat coronaviruses,1
Porcine Nephropathy,1
epitope-specific T cells,1
RSV/RV,2
long-range RNAâRNA,2
Feline Leukemia Virus,9
Iberian Lynx,1
Iberian lynx,10
lynxes,8
feline pathogens,6
Cytauxzoon felis,2
free-ranging Iberian lynxes,1
Iberian lynxes,4
feline leukemia virus,72
FeLV,139
FeLV p27,3
provirus-positive,2
FeLV surface glycoprotein,1
FeLV-A/61E,2
lynx,11
Human Airway Epithelial Cells,6
Simian Immunodeficiency Virus pseudotyped,1
Vesicular Stomatitis Virus Glycoprotein,2
Human airway epithelial cells,2
bacillus,9
human body,79
Human Immunodeficiency Virus type 1,1
HIV populations,3
Canine Rabies,2
canine rabies,13
rabid,6
Coronavirus Infectious Bronchitis Virus Membrane,1
Coronavirus M,1
IBV M,8
bait,3
HTLV-1,69
SV40,25
rubella,74
mumps virus,25
parvovirus,114
human skeletal muscle,1
Ureaplasma parvum-induced UTI,1
Ureaplasmas,2
UTI,30
U. parvum,3
F344 rats,5
H5N1 Avian,1
Chickens,28
HPAI H5N1 serotypes,1
HPAI H5N1 strain,1
HPAI H5N1,23
influenza virus HA,6
H5 serotype DNA,1
avian infectious bronchitis virus strain M41,1
chicken embryos,34
Proventriculitis,1
avian infectious bronchitis virus,69
IBV M41,10
chicken embryo kidney cells,10
IBV antigens,2
chicken embryo,17
IBV strain M41,3
3C-like Proteases,1
Human coxsackievirus,1
picornavirus,104
CoV-229E,8
human transferrin receptor 1,4
AMAV,3
Tacaribe (,2
TCRV,22
human TfR1,17
pseudotyped viruses,9
muskmelon (Cucumis melo) leaves,1
Haemophilus parasuis,6
porcine spleen,1
porcine immune system,3
Porcine Genechipâ¢.,1
porcine spleen 7,1
porcine PK-15 cells,1
Polyomaviruses,9
KIPyV,18
WUPyV,32
WUPyV in 1,2
human stem cell,1
PVM,5
CCL3-overexpressing IFNÎ³ -/- mice,1
Plasmodium falciparum,3
Plasmodium falciparum cysteine,1
Bocavirus,39
caliciviruses,62
HBoV2,28
norovirus genogroup 2,1
bocavirus,122
HBoV species 3,1
HBoV3,16
bocaviruses,27
mouse bronchoalveolar lavage,1
WT,3
WT mice,35
comovirus,1
DoD,3
Human Immunodeficiency Virus,19
breakpoints,25
Avian Influenza Virus Glycoproteins,1
Human Airway Epithelium,3
human airways,13
human ciliated airway epithelium (HAE),2
human distal airways (37Â°C,1
avian enteric tract (40Â°C,1
avian influenza virus polymerase subunit,1
A/Victoria/3/75,3
avian-like glycoproteins,1
A/Chick/Italy/1347/99,2
A/PR/8/34,7
avian-like surface glycoproteins,1
Coronavirus Contains,1
SARS-CoV X-domain,1
Viral Proteins,2
Sendai virus-induced,3
hepatitis C virus NS3/4A,2
Henipavirus Therapeutics Hendra,1
paramyxoviruses,168
NiV,104
HeV,96
henipavirus,32
civets,1
canids,11
canine vector-borne,3
MCPyV,4
Chikungunya Virus Reverse TranscriptionâPCR A,1
mouse lethal,3
H5N1 influenza A viruses,1
H5N1 infected mice,1
avian influenza virus H5N1,11
human influenza virus,18
Phaseolus vulgaris ESTs,1
Uromyces appendiculatus,1
P. vulgaris-U.,1
virus-related,3
human rhinovirus,176
Lassa Virus Glycoprotein,1
Lassa virus envelope glycoprotein,1
S1P-deficient cells,1
replication-competent,24
Lassa virus glycoprotein GP,1
Lassa virus,67
Lassa virus glycoprotein,4
T. cruzi,25
