CELLULAR_COMPONENT,frequency
nuclear body Nucleoli,1
cell nucleus,20
nucleolus,196
nucleus,347
nucleolar,140
nucleoplasm,11
nuclear bodies,1
virus,6
cell membranes,75
Francisella,15
yeast two-hybrid,43
eIF3,2
outer coat,2
outer membrane,44
VLPs,308
Salmonella,120
elongating ribosomes,4
virusâcell membrane,2
cellular membranes,144
T7,21
Rz,2
LTR,49
mitochondrial,300
nsps,54
double-membrane,10
RTCs,17
gene-by-array matrix,1
matrix,254
dystrophin-positive fibers,2
nanogold,2
N-term,1
Mitochondrial,24
Plasmid,3
cytoskeletal,41
yeast Organisms,1
vRNA,9
membrane vesicles,47
Nichols,1
Hu,1
mitochondrial N-formylated peptides,1
mitochondrial peptides,1
cytoskeleton,62
chloroplast,18
Crithidia,2
long tail,1
axonal,50
axon-glia,1
lipid-bilayer,1
vesicular stomatitis virus G proteinâin,1
Surface,38
single-stranded DNA,12
Endoplasmic Reticulum,36
spherular membrane,1
DMVs,97
reticulovesicular network,8
DMV,38
H12/93,1
nsp8,31
nsp3,100
endoplasmic reticulum unfolded protein response,1
Polydnavirus DNA,1
NE,10
intra-species,6
RNA-,8
mtDNA,17
biparental nuclear,1
nDNA,1
mtDNA Î¦(ST,1
cytosolic,63
Sputum,58
Vesicular Stomatitis Virus-Based,2
vaccine,52
virus surface,16
gp120,10
Salmonella enterica,59
tachyzoites,9
bradyzoites,1
synapse,14
humoral cross-type,1
Ori,1
chromosomes,33
chromosomes 1,2
chromosome 20,1
neutrophil surface,1
M. bovis,22
cargo,73
tombusvirus,6
outer dynein,1
Brome,29
Brome mosaic virus,8
perinuclear endoplasmic reticulum,1
peripheral membrane,2
perinuclear ER,5
Ureaplasma microbial,1
Cucumber Green Mottle,1
PVM,8
CPMV,9
filament vimentin,2
surface vimentin,5
SUD-N,3
SUD-M,3
Nsp3,9
1970s,46
BmNPV,7
Budded baculoviruses,1
cytosol,58
N-,51
surface epithelial cells,2
Golgi,661
ERGIC,40
Ibis,2
Epimedium,1
nsp6,17
intracellular membranes,54
endosome,78
endo-lysosome,1
caveosome,2
caveosomes,1
capsid VP1,1
punctate cytoplasmic,1
membrane-proximal,2
bilayer surface,1
Nab,2
Salmonella typhimurium,15
3'-coterminal,1
K',1
intron 2,1
IBV genome,15
TBSV,32
cyanobacteria 16S,1
RNA/DNA,9
non-green plastids,1
chloroplasts,12
chloroplast-derived vaccine antigens,1
BBB,27
VTEC O157:H7,1
apical,113
basolateral,34
basolateral surface,16
Asparagus filicinus,1
NCBI,19
prM,37
subviral particles,3
RSPs,5
rod pigment rhodopsin,1
endoplasmic reticulum (ER)-Golgi,5
lysosomal compartment,1
Germany,4
VP4-LTB,1
L. casei,6
monocytogenes,34
L. monocytogenes,8
intracellular L. monocytogenes,2
RNA-synthesizing,9
CCV,22
mycobacterial,34
sperm membranes,1
acrosome,10
raft microdomains,2
membrane rafts,9
acrosomal cap,1
equatorial segment,2
midpiece,1
membrane raft,1
sperm-egg membrane,1
EBV-encoded nuclear,1
interferon (IFN)-Î²,2
Nucleolus,11
envelope glycoproteins,51
V3,5
H6,2
endoplasmatic reticulum/Golgi,1
Golgi-,1
lysosomal compartments,2
virions,52
GPI-enriched plasma membrane,1
subgenome-length,9
trans-membrane,7
Salmonella choleraesuis-mediated,1
bodies,79
ITAM-like,1
DNA mPCR-EHA,1
3' terminal,2
Chlamydophila,8
genome segment,2
IPNV,13
microtubule-dependent intracellular,1
endosomes,143
microtubule-dependent,3
cell surface antigens,3
Nucleolar,18
C-terminal nucleolar,2
exponential terminal,1
pronuclei,1
membrane-enveloped vesicles,2
plasma membranes,34
plasma membrane,17
yeast circular centromeric,1
LRI-outbreaks,3
filamentous particles,1
filamentous,13
DTH,1
cell-cell junctions,2
cell-cell adhesions,1
ShoreâLong,1
minipool,1
packageable green fluorescent protein,1
plantarum,1
late endosomes,52
MIICs,1
intracellular Gag,1
virus cell-to-cell,4
syncytia,11
early-endosomes,2
surface plasmon,23
Phaseolus vulgaris cv âWhite,1
NP1,13
E2,46
DHBV,12
myelin,23
Chlamydia,33
chlamydial,14
Chlamydia abortus,2
ABs,2
reticulate bodies,1
chlamydial inclusions,4
reticulate-like,1
human-,10
E1/E2,2
faecal virus,1
26S,3
P2,1
ECM,34
nsP3,32
secretory,28
virus-membrane,1
exocytic,11
E.,38
DEN,4
membrane surface,9
non-helical linkers,1
almost-complete extracellular,1
Tomato bushy stunt virus,2
cell extracts,16
nidovirus,8
sub-cellular,6
subnuclear,14
cytosol/nuclear compartment,2
single-stranded 5â²-tail,1
long nucleic acid,1
puncta,6
NSP4-mediated,1
Leptospira Species,1
Leptospira,18
L. interrogans,2
cell layer,4
cell layers,6
lysosome,32
Woodchuck,2
post-Golgi,12
microbial detection/discovery,1
neurones,1
plasmid DNA,15
aggresomes,2
nuclear membrane,6
VP6,50
VLP2/6,1
cane toad,2
HA1-Fdc,1
astrocytes,2
membrane-distal,6
NS2,6
endoplasmic reticulum-derived,1
caveolar,9
non-enveloped viruses,31
membrane barrier(s,1
IOM,4
NP microbiota,11
Plastid,3
plastids,2
plastid DNA,1
Echinacea extract,1
Panax ginseng extract,1
membrane epithelial cells,1
tuber extracts,1
eukaryotes,66
Particles,2
Endoplasmic Reticulum Whorl,1
multilamellar membrane,1
surface glycans,4
neuronophagia,1
DNA clones,7
VSV-G,14
acidic endosomes,9
nuclei,71
lysosomal,117
glycans,92
star anise,2
SL2,24
sperm,5
dendritic cellâspecific,1
mitochondrial cytochrome B,1
Nucleus,12
Nucleocytoplasmic,1
extra-nuclear,1
beet pulp,1
cell wall,37
target-cell,1
Apical membrane antigen 1,1
organelles,152
pores,11
DNA second-strand,1
2-LTR,1
cytosolic unfolded,1
Nucleoli,3
nucleoli,28
mitochondrial DNA,23
Viral-bacterial,4
extracorporeal membrane,44
extrachromosomal circular,1
reintegrates,1
Chromatin,10
GP5,4
ORF5a,1
nsP1,18
MRCV,1
oral membrane,1
Griffithsin,2
NLG,1
surface envelope,4
TGF-Î²(1,5
SPIO,1
nucleocapsids,51
ns2,6
multilamellar liposomes,1
Heparan Sulfate Proteoglycans,4
microglial TNFÎ±,1
non-vesicular lipid,1
trans-Golgi,20
IBV,25
nidovirus genome,3
basal ganglia,6
DNA Viruses,12
non-enveloped single-stranded,1
autophagic,74
membrane-bound vacuoles,1
autophagosomes,96
apoptotic bodies,1
DI-RNAs,7
vRNP,14
cellular membrane,46
cisternae invaginations,1
cellular triglycerides,1
cisternae,41
single-membrane tubules,2
multilamellar structures,1
autophagosome-like membrane,1
autolysosomes,4
ssDNA,30
non-homologous,2
Exosomes,33
exosomes,123
cell typeâdependent,2
Seg-9,2
NS4,1
orthoretroviral-like,1
Viruses Harbouring,1
Iron,2
polysomes,10
Cytosolic,6
LAMP1-containing structures,1
early endosomes,12
N-call,1
mitochondrial SIRT3,2
nuclear SIRT1,1
CDRs,7
cell-free,41
5' 7-methyl guanosine cap,1
FTLS,2
endosomal/lysosomal vesicles,1
small nucleolar,4
multi-surface,1
autophagic vacuoles,7
autophagosomal membranes,1
TMV virions,1
cellular surface,6
apical membranes,4
autophagocytic vacuoles,1
sgRNAs,8
TRSs,45
TRS-L,3
minus-,11
stress granules,71
cis-preferential,2
Electron,22
Membrane Rafts,1
Membrane rafts,2
nonenveloped DNA,2
MBL-dependent,2
Tombusvirus,1
pseudoknot-like structures,1
Eh-BtPV-1,1
polyploid virus,1
immune milk,3
18S-rDNA,1
M-MLV,1
membrane cholesterol,7
VSV G,5
matrix constituents,1
long petioles,1
bark extract,1
virus envelope,17
dengue-specific,1
Tombusvirus Plus-Strand,2
cell-free TBSV,1
minus-stranded,3
NS3-cleavable,1
NCT00833885,1
primer-dependent nsp12-RdRp,1
D/ExD/E,1
PICs,1
amoeba co-culture,1
Vaccines,51
LZ,1
VLP,39
Listeria monocytogenes,2
multi-cycle,5
NSP5,1
genome-length,15
CEA-SARS-CoV,3
chromosome 9p21.3,1
SL6,3
Chromosomes,7
mini-F,1
abluminal,1
axons,20
VTT,1
DNA extracts,3
epithelial short-circuit,1
azurophilic granules,2
HNPs 1â4,1
HNPs,2
azurophil granules,1
intracellular membrane architecture,1
C-terminal 21,1
endosomal/lysosomal membranes,1
fusion-ready,2
crude DNA,1
imDENV,1
DI/DII,1
Salmonella enterica serotype Javiana,1
SPB,7
SPB placentas,1
STB,2
Ribosomal,50
macropinocytosis-like,5
cell vesicles,1
subâmicrometer-sized,1
nucleocapsid inclusions,2
oral droplets,1
apical surface,53
EV7,4
endosomal cathepsin,6
PigSCV,1
cell-extracellular matrix,2
pseudopodia,1
cytoskeletal network,2
cell edge,1
Droplets,6
Virions,8
Nanobiomaterial Virions,1
cell walls,6
Monocytogenes,2
Lm,3
cell cytoskeleton,2
syncytium,68
Membrane Topologies,1
virus-like particle,7
MT111,1
virus-cell membrane,17
VP8,5
dsDNA,14
DNA/DNA,1
endosomal vesicles,6
cytosolic DExD/H,1
DNA damage-inducible,3
USPIO,1
LCTA-949,10
cell-cell membrane,7
Thermostable DNA,1
yeast three-hybrid,1
3Â´,1
hippocampal,6
vesicular stomatitis virus,78
ICMs,1
species-specific 16S,1
vacuole membrane,5
newly-induced,1
ER/Golgi,2
vacuole compartment,1
VP10,1
synaptic,27
yeasts Saccharomyces cerevisiae,1
arteriviral,2
alanines,12
ER-to-Golgi,9
ER-to-Golgi vesicular,2
ERES,1
cis-Golgi,13
Mitochondrial AntiViral Signaling,1
virion,25
serial PEGylated,1
enterovirus,6
Scutellaria baicalensis Seedlings Rare earth elements (REEs,1
Scutellaria baicalensis,9
Nef,9
microtubules,40
Extracellular Vesicles,6
Extracellular vesicles,7
multivesicular bodies,10
microvesicle,4
virus-like vesicles,1
retrotransposon elements,1
bronchial tree,2
Signaling,8
epithelial compartments,1
bone matrix,1
Nuclear Factor-ÎºB,5
chromosome 7,2
Pip5e,1
transepithelial,13
Nelumbo nucifera Gaertn,2
bacteriophage electron,1
Nsp2,7
epidermal,8
Staphylococci,3
long double-stranded,4
nuclear factor-ÎºB,21
genome segments,11
nexuses,1
HBsAg,9
viral-viral,2
FgV1-DK21,4
transmembranes,1
membrane-bound vesicles,2
paracrystalline,3
fecal matrix,1
aphid proteins,1
CYDV,1
endospores,3
Acidic Endosomes,1
endolysosomal,22
vacuolar H(+)-ATPase,1
FluB,11
Efferent fibers,1
medial geniculate nucleus,1
extracellular enveloped virus,1
vRNPs,11
budding sites,1
NP,3
X_XXY_YYZ,1
mitochondrial F1,2
mitochondrial Fo complex,1
intranuclear,6
sub-nuclear,2
Ser534,1
sites ASN-XAA-SER/THR-55,1
Candida,4
gp90,5
S-dependent membrane,1
cell extract,8
L. infantum,29
organelle-like,1
lysosomal enzyme-targeting,1
foamy vacuolar,1
syncytiotrophoblasts,1
Salmonella serovars,1
locus agfA,1
multi-membrane vesicles,2
neutrophil extracellular,7
neutrophil-specific granules,1
PHA-stimulated CD4(+,1
Stress granules,10
S-foci,1
SG,17
Sargassum pallidum Polysaccharides,1
Sargassum pallidum polysaccharides,2
EGFP-specific,1
zero material,1
Mitochondrial Apoptosis-Inducing Factor,1
scFv DNA,1
scFv,2
E. faecium,4
ISG56/IFIT1,1
Syncytium,7
VIDISCR,1
fecal virus,3
DRiPs,1
Membrane Hemifusion,1
genome DNA,4
root extract,2
X-bodies,2
virus âfactories,1
VRCs,7
PVX,20
PVX X-body,1
X-body,1
long 5â²,2
exterior surface,2
400â800,1
ciliated edges,3
cilium tip,1
lysosomal cysteine,5
membrane layer,2
acidic vesicles,3
misfolded,1
"4-methyl-1,4,5,6,7,8-hexaÂ­hydroÂ­quinoline",1
peroxisomes,9
multivesicular,2
outer cell membrane,1
endosomal Toll like receptors,1
outer retina,2
interphotoreceptor matrix,1
photoreceptor outer,1
VP40 matrix,1
messenger-sense,1
Saikosaponin-d,1
mitochondrial membrane,26
pathogen-specific surface,1
Plasma Membrane,1
long cytoplasmic tail,1
Env,14
FIP1C,1
DNA Vaccine,13
LLRKxGxKG,4
Rab5-positive,1
eubacterial,1
multicellular eukaryotes,2
non-enveloped virus,3
chloroplast genome,4
merozoites,7
meront,1
chlamydial UGT,1
719-nt,1
TL1/PK2,1
stem-loops,14
pneumoniae DNA,2
granule,3
TBSV genome,2
elements-,1
intracellular Ca(2,3
endothelial barrier,9
N-linked glycans,17
N-glycans,14
L. acidophilus,6
L. acidophilus-induced IFN-Î²,2
P7,1
Idea-Ps,1
amyloid-like,1
nuclear factor-ÎºBs,2
tea extract,1
body-like,1
detergent-resistant membrane,6
Caveolae,5
chromosome 11p15,1
Pgl,1
Ter,2
nuclear periphery,3
A-type inclusions,1
S1/S2,9
itinerary,5
genome architecture,2
electron-dense,9
PVX 3â²,3
TMD2,1
filamentous fungi,3
sgmRNAs,24
mycoplasma pneumoniae,1
N-terminal cytoplasmic,1
nuclear factor-kappa B,10
vesicle,32
cap,2
Cereal yellow,1
S29,1
buffy coat,8
F-specific immunoglobulins,1
Turnip,9
ExoN+,2
perinuclear vesicles,1
mycelial,10
milRNA,1
cell surface glycosaminoglycans,3
CH/GDGZ/2012,1
L. rhamnosus CRL1506,1
HBV DNA,1
Golgi cisternae,15
cisternal membranes,2
organelle,44
intra-Golgi,2
intra-cellular,4
giganteus,2
encapsidates,4
extracellular virions,11
S424,2
EE,4
nuclear pores,2
Nuclear,33
cytoplasma,3
karyopherins,1
cell cytoplasm,13
endocytic membranes,1
TM1,2
BFA-induced,4
bone-resident macrophage,1
cell periphery,5
COPII-vesicles,2
Filamentous,2
fruiting body,3
thallus,1
ascospore,1
mycelium,1
Evans Blue,2
basement membrane,17
ramorum,1
Stramenopila,1
224-bp,1
16S,14
Syncytia,1
extracellular fluids,1
T-DNA,2
TuMV intercellular,5
actomyosin,1
HAdV-D,1
Immuno-electron,2
HAdV-D37-containing vesicles,1
mineral matrix,1
genome fingerprint,6
SCG,1
reticular membrane network,1
small vesicles,10
gDNA,4
V-genes,3
intracellular ROS,4
S. aureus-infected,1
endosomal membrane,18
SR,18
outer shells,1
endosomal TLRs,2
entomobirnavirus genome,1
Consumers,1
cell endosome membranes,1
Listeria,2
S-protein-based,1
IgM,8
DVs,1
Double-membrane,1
autophagic vesicles,2
double-membrane autophagosome-like vesicles,1
amphisome,4
filamentous virus,1
VP1-VP4,1
Danube river,1
focal adhesions,4
negative-strand genome,3
SINV-derived,1
Cytosol,1
SSR,2
ribosomal DNA,6
endoplasmic reticulumâassociated,1
VH,5
Salmonella spp,9
mucous membrane,10
Sa,5
enteropathogens,49
host-membrane,1
S. nigra,2
nigra extract,1
capsids,43
DNA plasmidâcan,1
Salmonella (gastro-enteritis),1
Technology,12
CAstV,1
endoplasmic reticulum chaperones BiP/GRP78,1
endoplasmic reticular Î±-glucosidases I,1
Spiro(indoline-pyranodioxine,1
fiber,21
anticodon,16
VP5,4
bacteriophage Cystoviridae,1
Edge-attached,1
virion surface,24
Eimeria,43
DNA topoisomerase,2
granules,48
BM,17
circular Triple-Helix,1
circular TFO,3
circular TFOs,1
chlamydial persistence/stress,1
chlamydiae,4
EVs,12
membrane-enclosed,1
cellular oxygen,1
virion membranes,1
mitochondrial outer membrane,6
Cryo-electron,11
nucleosome,2
fecal material,14
Pores,1
endosomal membranes,18
lipid/protein,1
intralumenal vesicles,2
multivesicular bodies/late endosomes,1
Silico,3
convoluted membrane network,1
small DMVs,1
sM2,1
Cell Surface,11
Extracellular Space,1
ER-Golgi,16
anti-DNA,3
apical actin network,1
membrane microdomains,13
DDX5-like Dbp3p,1
(+)RNA,11
non-CpG ODN,1
extracellular virus,11
Tetraparvovirus,1
scale-free,3
isochores,1
vAc-HA,3
juxtanuclear endosomes,1
QIAcube,1
DNA virus,3
Chromosome Condensation 1 (RCC1)-like,1
endosomal cholesterol,7
bulb extract,1
Broad-Range PCR-Electrospray,1
near-full-genome,1
interferon Î³.,2
intron 1,4
NSP2,3
Endoplasmic reticulum,12
Microtubules,4
exosomal,7
basement membrane/extracellular matrix,1
spore,10
chromosomal DNA,3
ORF3,17
vesicular stomatitis virus G,7
M. hyopneumoniae-specific,1
M. hyopneumoniae-specific CMI,1
X chromosome,7
TMV,4
TMV capsid,1
Tomato mosaic virus,3
ToMV,1
ToMV capsid,1
BSMV capsid,1
RNPs,15
Practices,3
Endoplasmic reticulum (ER)-associated,1
cell nuclear,2
nano-channel,1
Chase-ABC,1
membrane invaginations,8
endoplasmatic reticulum,2
extrusions,1
Event ScaleâRevised,3
Switch,3
Dicistrovirus,2
nuclear Smad3-Smad4,1
interferon (IFN)-dependent,1
non-immune related tissues,1
surface TGF-Î²,1
IFNL,2
IFNL3,2
Exterior of,1
vesicle-mediated,3
filopodia,5
IS1081 RPA,1
hyaline membranes,10
transmembrane pores,2
Spherules,2
carbohydrates,24
endoplasmic reticulum chaperone,1
Bupleurum scorzoneraefolium,2
S367-S606,1
filamentous virus-like,2
circular single-stranded,2
material surface,3
Salmonella-containing vacuole,1
intracellular Salmonella,1
membrane tubules,5
Salmonella-induced,1
endocytosed material,1
endosomal lumen,3
multi-antennary type II,1
apical nystatin,1
haustoria,2
cytosolic calcium,6
nuclear envelope,29
epithelial surface,5
cellular organelles,11
NSP6,7
omegasome,5
autophagosome/lysosome,1
K. pneumoniae,7
nucleolus Nucleoli,1
nucleolar vacuoles,1
Nucleolar chromatin,1
Golgi stacks,6
MSCs-derived exosomes,1
endosome-lysosome,1
circular DNA,6
cccDNA,11
exosome,27
archaeal exosome,1
archaea-specific,1
rRNA-derived,1
telomere,11
surface layers,1
S-layers,1
isoporous lattices,1
coats,2
autophagy-like,2
Mitochondrial Reactive,1
Mitochondria,13
mitochondrial ROS,5
perinuclearly,2
amphisomes,1
intracellular cGMP,1
cell surface PDI,1
raft-lipid microdomains,1
lipid-raft membranes,1
lipid-raft membrane,1
lipid-raft microdomains,2
episomal,5
proviral DNA,11
VP1,4
penton,12
Trematosphaeria grisea,1
chromosome 12,4
cellular lipid,1
outer surface,12
negative-sense,22
nuclear PTB,1
extracellular molecules,3
dromedary camels,14
spliceosome,3
C-terminal,76
HCVcp,1
root extracts,2
birthdate,2
Vesicular Stomatitis Virus (VSV,3
microbiome,1
Cell membrane,3
membrane autoantigens,1
border entry/exit,1
circular ssDNA,1
negative-sense single-stranded,2
PTX3-deficient,2
epithelial junction,1
epithelial barrier,12
intracellular IFNÎ±,1
Sarcocystis neurona,5
tegument,7
wheat yellow,1
rickettsial DNA,2
green juice,1
Coxiella burnetii,16
lysines,1
Propolis Flavone,1
polysome,2
epithelial lining,2
fimbrial adhesions,1
LCV,1
feed material,1
material,24
LV,7
basal epithelium,1
Agrobacterium Rhizogenes,1
viral-,2
leptospiral,1
Exosome,4
secretory vesicles,15
epithelial sodium,7
lamellar bodies,1
pericellular,3
non-lytic VP5-dependent,1
ROS-promoted autophagosome,1
SS2,6
Nucleic Acid,1
rDNA,9
rDNA loci,1
vvIBDV,1
segment B,1
IBDV,5
snoRNAs,4
L. Maunula,1
Immunomicroscopy,1
cell debris,1
RCNMV hijacks,1
nucleus/nucleolus,4
Dromedaries,2
Chlamydophila pneumoniae,1
SaB-BSA,3
red ginseng,1
Immune-Electron,1
immune serum,2
Heparan Sulfate-Dependent,1
heparan sulfate,3
endoplasmic reticulum (ER)-membrane-spanning,1
intramembrane,8
Strand,2
nodavirus,2
DNA transducer-triggered,1
circulating IL-1Î²,1
endoplasmic reticulum membrane-derived,1
nucleoporins,2
immune complexes,5
mitochondrial importer receptor Tom70,1
mitochondrial chaperone,1
Trypanosome,2
vacuoles,35
membranous organelles,2
Mycobacterium avium,3
Mycobacterium abscessus,3
mycobacterial IFITMs,1
Viral Membrane,2
Double-Membrane Vesicles,2
endoplasmic reticulum-derived double-membrane vesicles,1
NS4B-5A,1
cell-in-cell,6
Vaccine,4
non-structure,4
plasmid cargo,1
multipolar,1
transmembrane helix-helix,2
membrane lipids,9
dromedary,11
EC(50,10
focal motor,1
filamentous bacteriophage,6
non-filamentous,2
chlamydial stress,1
extracellular ATP,4
maricultures,1
NS2B,20
LMPC micelle,1
nuclear factor-kappaB,3
NHR,25
Sporothrix,1
PIPO,1
surface IgG,1
Postpartum Periparturient cows,1
membrane-enveloped,1
Hon,2
Plasmid DNA,6
VP2,26
DNA photolyases,1
Transmembrane ProteinâMediated,1
Pullulan,1
actin-enriched membrane ruffles,1
EEA1-,1
virus internalizationâwe,1
intra-,3
US Food,19
L. macranthoides,3
M. haemofelis,4
Pelargonium sidoides,9
monocyte TNF-Î±,1
Ub,17
extracellular vesicles,11
MVBs,10
cellular plasma membrane,1
ILVs,5
MVB,6
chromosome 3,3
LTR G-quadruplexes,4
L. reuteri,4
aureus biofilm,1
stress granule,31
SGs,11
eukaryotic vaults,1
virus membrane,10
cell DNA,1
cell-cell virus,1
Nuclear Chromatin TAR DNA-binding protein 43,1
S-layer,7
Nuclear HMGB1,1
surface glycoproteins,6
virus',2
late endosomes/multivesicular bodies,1
Cell Membrane,3
Caprifoliaceae,2
virus surface glycoprotein,1
Deacon,1
archaea,1
microglia,1
interferon gamma-treated,1
[(18)F]-FDG)-positron,1
Actinidia deliciosa leaves,2
nuclear chaperone,1
HR1,13
16S ribosomal,5
-C.,1
Endoplasmic Reticulum Chaperone,1
membrane-trafficking,1
cytosolic compartment,2
Salmonella enterica Serovars Enteritidis,1
swCNT-FET,1
SNV,5
EMPs,7
TMV 3â²-UTR,2
TMV 3â²UTR,1
mitochondrial p53,1
enteroviruses (,2
long terminal repeat,6
exon/intron,1
Streptococci,3
detergent-resistant membranes,9
micro-domains,1
Sulfatides,1
eukaryotes membranes,1
ILTV,12
envelope membrane,5
intracellular organelles,5
isolated endosomal,1
outer capsid,6
dromedary calf,1
fusion-from-without,1
Sialic acid-deficient Lec2 Chinese Hamster Ovary (CHO) cell lines,1
cellular barrier,1
Extracellular Nuclease,1
extracellular DNA,3
neutrophil DNA,1
extracellular nuclease,1
Pea enation,1
tRFs,1
Ureaplasma,1
cellular endosomal,2
Rab7-positive,2
endolysosome,2
cytosolic pathogen-associated,1
mitochondria cytochrome c,1
focal areas,3
glial scars,1
Weibull,9
GP3,3
28S,4
retrotransposon,1
origin-based,2
Membrane Vesicles,5
OMV,4
Cryptosporidia,10
Cryptosporidia oocysts,1
Î±-defensin-dependent,1
Extracellular matrix metalloproteinase inducer,1
SFC,1
endosomal RBS,1
endosomally,3
endoplasmic reticulum kinase,1
6-bp,1
Mycobacterium vaccae,2
PRRS-MLV IM,2
Tomato mottle virus,1
Tomato yellow leaf curl virus,3
ORF1629,1
M. tuberculosis-infected,3
DNA Triplexes,1
Epithelial Sodium,1
Epithelial sodium,3
apical membrane,22
extracellular ligand,2
endosomal network,1
intra-specific,1
intercellular junctions,3
late endosomes/lysosomes,3
non-polio enteroviruses,1
single-membrane vesicles,3
equine,16
Jacobian matrix,1
PEDV antibody,2
Fc-dependent,2
monocytogenes gDNA,1
Phe76,2
PB2,6
solvent/detergent,5
perinuclear,54
endocytosis-mediated,1
late endosome,6
P-bodies,7
near-full,2
nuclear factor-ÎºB.,1
intracellular Ap(4)A.,1
extra-chromosomal episome,1
episomal DNA,1
baculoviral DNA,1
chromosome 19,2
interchromosomal DNA,1
Axonal,1
STMV,1
trans-cleavage,2
viron,2
Mycobacteria species,1
mycobacterial surface,1
filamentous nucleocapsid,3
mucosal surface,6
red wine,2
O-linked,14
virus-like,3
SAV3,5
root bark,1
poly (I,1
"matrix metalloproteinases-2,-8",1
membrane spherules,3
spherule,3
NPC1-dependent,1
Salmonella bacterial,1
Salmonella Newport,2
Salmonella antibodies,1
Salmonella vaccine,7
enterovirus D68,6
surface epithelium,2
embryoid body,1
Vesicular stomatitis virus,1
F-actin,8
NP bacterial,1
nucleolar compartment,1
cytosolic vimentin,1
Saccharaomyces,1
WNVs,1
neuroinvasiveness,12
intracellular calcium,11
IgG,1
body surface,7
hantavirus membrane,1
loxP,1
prophage,2
VA1,4
vesicle membranes,5
Mhf,16
red blood cell,6
Mycobacterial Glycolipid Components Î³(9)Î´(2,1
cell-free plasma,2
usurps cellular,1
mitochondrial cytochrome c oxidase subunit I (COI,1
cytosolic DNA,16
chromosome location-based,1
mycobacteria,28
mycoplasma,17
Chenopodium quinoa,3
immune responseâsuch,1
SR CD4(+,1
picornavirus-like,4
hijacks,3
NS2A,3
hook-like IDL tail,1
cell syncytia,1
endophytes,10
Phoenix dactylifera L.,1
M. hyopneumoniae,32
mitophagosome,1
Streptococcus mitis,2
focal distal,1
vesicular stomatitis virus (VSV)-based,3
lipids,4
intracellular DNA,1
ev21,2
cell matrix,1
invadosomes,1
exosomal matrix metalloproteinases,1
Organelles,3
mosquitoesâ blood,1
iDNA,3
algae-derived lectin,2
oocysts,19
nuclear actin,2
phagocyte NADPH oxidase,2
neutrophil plasma membrane,1
endosome-like membrane-bound,1
ehrlichial,4
ehrlichial inclusions,2
ehrlichial type IV,1
autolysosomal,1
polyribosomes,7
basolateral transporters,1
PEDV fecal,2
NII,2
bilayer,9
Agrobacterium,1
EV-A71,15
endoplasmic reticulum (ER)-derived,4
arterivirus-induced membrane,1
membrane structures,1
Golgi membranes,22
trans-epithelial,1
spike-mediated,1
Jordan-N3/2012,1
host-cell matrix,1
plasma microparticles,1
fiber surface,1
CDSs,3
LCRs,1
nuclear ribonucleoproteins,2
phagolysosomal,1
genome structures,1
6th,4
burgeoning-intensive,1
endolysosomal calcium,3
immune electron,34
lineage E,2
perinuclear puncta,1
basal nuclei,1
whole-blood,6
guanine-rich,2
